title,attributes
Out of the Furnace,"afi fest (1), rome film festival (1), starz denver film festival (1), napa valley film festival (1), blank (24), limited (2), blu ray release (1), dvd premiere (4), internet (2), tv premiere (1), tv release (1)"
Oldboy,"new york city, new york (1), premiere (1), limited (4), blank (36), dvd premiere (6)"
The Hunger Games: Catching Fire,"london (1), premiere (3), blank (86), los angeles, california (1), new york city, new york (1), german speaking region (1), french speaking region (1), midnight movie (1), internet (1), re-release (1)"
Frozen,"new york international children's film festival (1), cork international film festival (2), hollywood, california (1), premiere (2), blank (83), douala (1), paris (1), limited (2), german speaking region (1), dubai international film festival (1), manila (1), davao (1), sing-along version (8), yubari international fantastic film festival (1), sing-a-long version (1), furuyu movie festival (1), re-release (3), disney 100th anniversary (1), tv release (1)"
Saving Mr. Banks,"bfi london film festival (1), afi fest (1), napa valley film festival (1), camerimage film festival (1), cork international film festival (1), blank (70), toronto (1), limited (1), göteborg international film festival (1), dvd premiere (1), beijing international film festival (1), shanghai international film festival (1), internet (1)"
American Hustle,"los angeles, california (1), premiere (3), new york city, new york (1), blank (67), limited (1), dubai international film festival (1), london (1), berlin international film festival (1)"
47 Ronin,"blank (52), dvd premiere (1), shanghai international film festival (1), tv release (3), internet (2)"
The Hobbit: The Desolation of Smaug,"los angeles, california (1), premiere (6), berlin (1), buenos aires (1), blank (86), madrid (1), melbourne (1), sydney (1), dvd premiere (1), re-release (2)"
Anchorman 2: The Legend Continues,"sydney (1), premiere (1), blank (29), re-release (2), extended version (2), dvd and blu-ray premiere (3), dvd premiere (4), champs-élysées film festival (1), blu-ray premiere (1), tv release (1)"
Her,"closing film (1), new york film festival (1), premiere (1), hamptons international film festival (1), rome film festival (1), afi fest (1), toronto (1), limited (1), blank (55), international film festival rotterdam (1), göteborg international film festival (1), pac festival (1), luxembourg city film festival (1), belgrade film festival (1), offscreen film festival (1), vilniaus tarptautinis kino festivalis (1), blu-ray release (1), shanghai international film festival (1), centre pompidou, metz, france (1), re-release (3), dvd premiere (1)"
The Secret Life of Walter Mitty,"new york film festival (1), premiere (1), mill valley film festival (1), afi fest (1), blank (53), dvd premiere (3), shanghai international film festival (1), tv premiere (1)"
Lone Survivor,"afi fest (1), limited (2), french speaking region (1), blank (51), italian speaking region (1), german speaking region (1), dvd premiere (3), shanghai international film festival (1), tv premiere (1), internet (1)"
August: Osage County,"toronto international film festival (1), premiere (2), mill valley film festival (1), new orleans film festival (1), hamptons international film festival (1), chicago international film festival (1), hawaii film festival (1), austin film festival (1), afi fest (1), napa valley film festival (1), st. louis international film festival (1), moma - the contenders (1), dubai international film festival (1), blank (46), los angeles, california (1), new york city, new york (1), göteborg international film festival (1), buenos aires (1), pac festival (1), belgrade film festival (1), limited (1), internet (1), shanghai international film festival (1), dvd premiere (2)"
Ride Along,"blank (19), blu ray release (1), dvd premiere (6), tv release (3), tv premiere (1), internet (2)"
The Lego Movie,"copenhagen (1), premiere (2), westwood, california (1), blank (76), french speaking region (1), german speaking region (1), video premiere (1), internet (1)"
3 Days to Kill,"los angeles, california (1), premiere (1), blank (48), dvd premiere (1), dvd and blu-ray premiere (1), blu-ray release (1), internet (2)"
Pompeii,"buenos aires (1), premiere (2), blank (54), sydney (1), dvd premiere (2), moma - the contenders (1)"
Non-Stop,"paris (1), premiere (1), blank (51), dvd premiere (3), blu-ray release (1)"
The Grand Budapest Hotel,"berlin international film festival (1), bergen filmfest (1), prague (1), copenhagen (1), premiere (1), glasgow film festival (1), pac festival (1), limited (4), french speaking region (1), blank (49), belgrade film festival (1), german speaking region (1), golden horse fantastic film festival (1), italian speaking region (1), shanghai international film festival (1), moma - the contenders (1), beijing international film festival (2), tokyo gohan film festival (1), deauville film festival (1), tv premiere (1), re-release (1), internet (2), dvd premiere (2), camerimage international film festival (1)"
300: Rise of an Empire,"hollywood, california (1), premiere (2), buenos aires (1), blank (70), french speaking region (1), german speaking region (1), blu-ray release (1), internet (1)"
Noah,"mexico city (1), premiere (9), berlin (1), madrid (1), blank (65), new york city, new york (1), cardiff (1), edinburgh (1), dublin (1), london (1), paris (1), german speaking region (1), french speaking region (1), italian speaking region (1), dvd premiere (2), internet (2), deauville film festival (1)"
Need for Speed,"hollywood, california (1), premiere (1), blank (57), tv premiere (1), dvd premiere (1)"
Divergent,"los angeles, california (1), premiere (2), blank (62), mexico city (1), london (1), berlin (1), madrid (1), prague (1), 3-d version (1), re-release (1)"
Captain America: The Winter Soldier,"hollywood, california (1), premiere (3), paris (1), london (1), blank (62), dvd and blu-ray premiere (1), beijing international film festival (1), imax re-release (1), disney+ premiere (1), dvd premiere (1)"
The Raid 2,"sundance film festival (1), cph: pix (1), international film festival vilnius (1), blank (29), limited (2), beaune film festival (1), night visions film festival (1), brussels international fantastic film festival (1), imagine film festival (1), far east film festival (1), nocturna madrid international fantastic film festival (1), neuchâtel international fantastic film festival (1), dvd premiere (7), karlovy vary international film festival (1), jerusalem film festival (1), motelx - lisbon international horror film festival (1), milwaukee film festival (1), tokyo international film festival (1), five flavours film festival (1), barcelona (1), subtitled version (1), event release (1), beijing international film festival (1), shanghai international film festival (1), internet (1), fantasmagoría - festival de cine fantástico y de terror de medellín (1)"
Oculus,"toronto international film festival (1), los angeles, california (1), premiere (2), international horror & sci-fi film festival (1), blank (37), imagine film festival (1), brussels international fantastic film festival (1), dead by dawn horror film festival (1), limited (3), buenos aires (1), fantasy filmfest (1), internet (4), motelx - lisbon international horror film festival (1), utopia film festival (1), video premiere (5), festival de gérardmer (1), madrid (1), subtitled version (2), technical release (1), technical & event release (1), midnight movie, lyon (1), dvd premiere (1)"
Locke,"venice film festival (1), bfi london film festival (1), camerimage film festival (1), sundance film festival (1), göteborg international film festival (1), jameson dublin international film festival (1), phoenix film festival (1), cph:pix (1), blank (28), dallas international film festival (1), sarasota film festival (1), night visions film festival (1), riverrun international film festival (1), minneapolis-st. paul international film festival (1), nashville film festival (1), limited (2), independent film festival boston (1), shanghai international film festival (1), italian speaking region (1), sydney film festival (1), champs-élysées film festival (1), german speaking region (1), french speaking region (1), karlovy vary international film festival (1), new zealand international film festival (1), dvd premiere (4), film festival oostende (1), film by the sea film festival (1), bergen international film festival (1), sanfic film festival (1), tv premiere (1)"
The Amazing Spider-Man 2,"london (1), premiere (7), paris (1), rome (1), berlin (1), blank (91), tokyo (1), moscow (1), german speaking region (1), italian speaking region (1), new york city, new york (1), french speaking region (1), tokyo international film festival (1), internet (1)"
Transcendence,"westwood, california (1), premiere (1), blank (52), blu-ray release (1)"
Chef,"south by southwest film festival (1), tribeca film festival (1), montclair film festival (1), newport beach international film festival (1), blank (45), limited (1), munich international film festival (1), deauville film festival (1), helsinki international film festival (1), bergen international film festival (1), zurich film festival (1), tokyo international film festival (1), dvd premiere (3), yubari international fantastic film festival (1), beijing international film festival (1), tokyo gohan film festival (1), food & agriculture film festival in hiroshima (1), nasu onsen film festival (1), internet (1)"
Neighbors,"south by southwest film festival (1), blank (62), german speaking region (1), champs-élysées film festival (1), french speaking region (1), tv premiere (1), internet (1)"
Godzilla,"los angeles, california (1), premiere (2), buenos aires (1), blank (77), french speaking region (1), german speaking region (1), italian speaking region (1), la eigafest (1), blu-ray and dvd (1), dvd premiere (2), barcelona (1), subtitled version (1)"
X-Men: Days of Future Past,"new york city, new york (1), premiere (8), london (1), moscow (1), sao paulo (1), melbourne (1), beijing (1), blank (88), tokyo (1), dvd premiere (1), dvd and blu-ray alternate version (1), beijing international film festival (1)"
Blended,"berlin (1), premiere (1), german speaking region (1), blank (67), internet (1), dvd premiere (1), dvd and blu-ray premiere (1)"
A Million Ways to Die in the West,"westwood, california (1), premiere (1), blank (49), champs-élysées film festival (1), blu ray premiere (1), old town taito international comedy film festival (1), internet (1), dvd premiere (1)"
The Babadook,"sundance film festival (1), new directors/new films (1), florida film festival (1), cph: pix (1), imagine film festival (1), lyon festival hallucinations collectives (1), stanley film festival (1), blank (25), seattle international film festival (1), northside film festival (1), jerusalem film festival (1), traverse city film festival (1), new zealand international film festival (1), fantasy filmfest (1), motelx - lisbon international horror film festival (1), helsinki international film festival (1), fantastic fest (1), saskatoon fantastic film festival (1), reykjavík international film festival (1), lund fantastisk film festival (1), sitges international fantastic film festival (1), chicago international film festival (1), new hampshire film festival (1), toronto after dark film festival (1), savannah film and video festival (1), hawaii film festival (1), virginia film festival (1), lone star film festival (1), morbido film fest (1), torino film festival (1), internet (1), limited (1), monsters of film, stockholm (1), dvd premiere (5), blu-ray release (1), victoria (1), belgrade film festival (1), skopje film festival (1), dvd and blu-ray premiere (1), tv premiere (2), bali international film festival (1), barcelona - phenomena (1), subtitled version (1), event (1), seoul international women's film festival (1), beyond fest (1), 10-year anniversary (1)"
Edge of Tomorrow,"blank (75), french speaking region (1), paris (1), premiere (3), london (1), new york city, new york (1), german speaking region (1), limited (1), internet (1)"
Maleficent,"blank (66), los angeles, california (1), premiere (2), german speaking region (1), tokyo (1), tv premiere (2), beijing international film festival (1), internet (1)"
The Fault in Our Stars,"seattle international film festival (1), new york city, new york (1), blank (78), german speaking region (1), limited (1), french speaking region (1), italian speaking region (1), buff film festival (1), shanghai international film festival (1)"
22 Jump Street,"new york city, new york (1), premiere (1), blank (87), los angeles film festival (1), french speaking region (1), italian speaking region (1), german speaking region (1), dvd and blu-ray premiere (1), shanghai international film festival (1)"
How to Train Your Dragon 2,"cannes film festival (1), blank (64), seattle international film festival (1), sydney film festival (1), los angeles film festival (1), champs-elysées film festival (1), buenos aires (1), premiere (1), scotland only (1), blu-ray and dvd (1), internet (1), tokyo anime award festival (1), dvd and blu-ray premiere (1), dvd premiere (2), 4k uhd (1), tokyo international film festival (1)"
Transformers: Age of Extinction,"tsim sha tsui (1), premiere (3), shanghai international film festival (1), blank (68), new york city, new york (1), dhaka (1), german speaking region (1), dvd premiere (1)"
Begin Again,"toronto international film festival (1), premiere (1), tribeca film festival (1), san francisco international film festival (1), seattle international film festival (1), sydney film festival (1), shanghai international film festival (1), provincetown international film festival (1), peace & love film festival (1), limited (1), nantucket film festival (1), blank (52), tartu love film festival tartuff (1), stardust theater in haramura (1), dvd premiere (2), shibuyagawa film festival (1), kawasaki shinyuri film festival (1), pyeongchang international peace film festival (1), tokyo international film festival (1), re-release (2)"
Dawn of the Planet of the Apes,"san francisco, california (1), premiere (4), new york city, new york (1), blank (82), buenos aires (1), madrid (1), limited (1), leiden international film festival (1), internet (1)"
Hercules,"blank (71), hollywood, california (1), premiere (2), italian speaking region (1), berlin (1), french speaking region (1), german speaking region (1)"
Guardians of the Galaxy,"los angeles, california (1), premiere (3), london (1), fantasia international film festival (1), reykjavik (1), blank (78), german speaking region (1), french speaking region (1), kirchberg & belval, luxembourg (1), italian speaking region (1), dvd and blu-ray premiere (1), beijing international film festival (1), imax re-release (1), disney+ premiere (1), dvd premiere (1)"
Teenage Mutant Ninja Turtles,"los angeles, california (1), premiere (4), new york city, new york (1), blank (91), seoul (1), italian speaking region (1), scotland only (1), french speaking region (1), german speaking region (1), tokyo (1), kyoto historica international film festival (1), internet (1)"
The Expendables 3,"london (1), premiere (6), blank (73), marbella (1), cologne (1), paris (1), los angeles, california (1), macao (1), old town taito international comedy film festival (1), tokyo international film festival (1), dvd premiere (2), internet (1)"
Let's Be Cops,"hollywood, california (1), premiere (1), blank (73), dvd premiere (1), internet (1)"
Sin City: A Dame to Kill For,"los angeles, california (1), premiere (1), blank (72), london (1), limited (1), internet (1), dvd premiere (1)"
Wild Tales,"cannes film festival (1), paris cinéma (1), karlovy vary international film festival (1), new horizons film festival (1), new zealand international film festival (2), two riversides film and art festival (1), blank (45), sarajevo film festival (1), telluride film festival (1), toronto international film festival (1), film by the sea film festival (1), athens film festival (1), cinefest sudbury international film festival (1), donostia-san sebastián international film festival (1), hamburg film festival (1), edmonton international film festival (1), vancouver international film festival (1), sitges film festival (1), bfi london film festival (1), são paulo international film festival (1), morelia international film festival (1), kaohsiung film festival (1), filmcolumbia festival (1), arras film festival (1), afi fest (1), sarlat film festival (1), tallinn black nights film festival (1), morbido film fest (1), brighton film festival (1), dubai international film festival (1), palm springs international film festival (2), sundance film festival (1), göteborg film festival (1), limited (3), glasgow film festival (1), belgrade film festival (1), pantalla pinamar festival (1), international film festival vilnius (1), beijing international film festival (1), skopje film festival (1), shanghai international film festival (1), blu-ray release (1), bengaluru international film festival (1), dvd premiere (1), re-release (2)"
Predestination,"south by southwest film festival (1), blank (21), shanghai international film festival (1), fantasia international film festival (1), melbourne international film festival (1), lund fantastisk film festival (1), mix copenhagen (1), monsters of film, stockholm (1), gent international film festival (1), toronto after dark film festival (1), trieste science+fiction festival (1), paris international fantastic film festival (1), dvd premiere (8), dvd and blu-ray premiere (2), blu-ray release (2), blu-ray premiere (1), tv release (1), barcelona (1), subtitled version (1), premiere (1), internet (2), cine universitario (1), tv premiere (1)"
The Maze Runner,"blank (100), buenos aires (1), premiere (1), internet (1)"
The Equalizer,"toronto international film festival (1), san sebastian film festival (1), new york city, new york (1), premiere (2), blank (91), san diego film festival (1), french speaking region (1), zurich film festival (1), german speaking region (1), buenos aires (1), italian speaking region (1), beijing international film festival (1)"
Chappie,"blank (72), french speaking region (1), german speaking region (1), italian speaking region (1), internet (1)"
Cinderella,"berlin international film festival (1), blank (63), jameson dublin international film festival (1), stardust theater in haramura (1), tama cinema forum (1), ctv premiere (1), beijing international film festival (1), dvd premiere (1)"
Run All Night,"new york city, new york (1), premiere (3), blank (57), madrid (1), filmfestival zeeuws-vlaanderen (1), buenos aires (1)"
Home,"boulder international film festival (1), blank (75), buenos aires (1), premiere (1), french speaking region (1), german speaking region (1), italian speaking region (1), filmfestival zeeuws-vlaanderen (1), dvd premiere (1), dvd and blu-ray premiere (1), internet (3)"
Insurgent,"london (1), premiere (4), copenhagen (1), berlin (1), new york city, new york (1), blank (80), french speaking region (1), german speaking region (1), italian speaking region (1)"
Southpaw,"shanghai international film festival (1), blank (59), locarno film festival (1), limited (1), dvd premiere (3), tv premiere (1)"
Get Hard,"south by southwest film festival (1), blank (35), internet (2), blu-ray premiere (1), dvd premiere (4), video premiere (1), tv premiere (1)"
Furious 7,"south by southwest film festival (1), blank (80), buenos aires (1), premiere (3), brisbane (1), french speaking region (1), hollywood, california (1), beijing international film festival (1), deauville film festival (1), dvd premiere (1), internet (1)"
The Age of Adaline,"blank (49), buenos aires (1), premiere (1), internet (1), dvd and blu-ray premiere (1)"
Avengers: Age of Ultron,"los angeles, california (1), premiere (2), blank (80), french speaking region (1), italian speaking region (1), german speaking region (1), tokyo (1), dvd and blu-ray premiere (1), 3-d version (1), beijing international film festival (1), imax re-release (1), disney+ premiere (1)"
Spy,"south by southwest film festival (1), louisiana international film festival (1), seattle international film festival (1), blank (85), limited (1), buenos aires (1), premiere (1), champs-elysées film festival (1), tunis (1), dvd and blu-ray premiere (1)"
Pitch Perfect 2,"las vegas, nevada (1), premiere (2), paris (1), blank (55), blu-ray release (1), internet (1)"
Mad Max: Fury Road,"hollywood, california (1), premiere (3), sydney (1), blank (74), german speaking region (1), cannes film festival (1), french speaking region (1), tokyo (1), limited (3), imax 3d (1), re-release (4), kanazawa film fest (1), spectrefest (1), black & chrome edition (3), nasu short film festival (1), okinawa international movie festival (1), nederlands film festival (1), imax version (1), 3-d version (1), beijing international film festival (2), ifc center, new york city (1), cinémathèque française (1), subtitled version (1), event (1), taiwan film and audiovisual institute (1), internet (1)"
Tomorrowland,"anaheim, california (1), premiere (2), blank (68), tokyo (1)"
San Andreas,"london (1), premiere (1), blank (72)"
Insidious: Chapter 3,"blank (60), dvd and blu-ray premiere (1), tokyo (1), dvd premiere (1)"
Aloha,"west hollywood, california (1), premiere (1), blank (20), madrid (1), dvd premiere (3), internet (5), tv premiere (1), tv release (2)"
Jurassic World,"paris (1), premiere (2), hollywood, california (1), blank (70), tunis (1), okinawa international movie festival (1), 3-d version (2), beijing international film festival (1), internet (1), shanghai international film festival (1)"
Inside Out,"cannes film festival (1), seattle international film festival (1), los angeles, california (1), premiere (6), sydney film festival (1), los angeles film festival (1), taormina international film festival (1), sydney (1), buenos aires (1), blank (88), edinburgh international film festival (1), madrid (1), london (1), berlin (1), re-release (3), limited (1), tama cinema forum (1), japanese animation film festival (1), west beach filmfestival (1)"
Minions,"london (1), premiere (1), blank (79), french speaking region (1), dvd premiere (2), mt. fuji-kawaguchiko lake film festival (1), furuyu movie festival (1), blu-ray premiere (1), hibiya cinema festival (1), internet (1)"
Paper Towns,"blank (62), buenos aires (1), premiere (1), internet (1)"
Dope,"sundance film festival (1), cannes directors' fortnight (1), sydney film festival (1), los angeles film festival (1), limited (1), blank (11), edinburgh international film festival (1), munich international film festival (1), galway film fleadh (1), odessa international film festival (1), new zealand international film festival (1), melbourne international film festival (1), deauville film festival (1), helsinki international film festival (1), jameson cinefest international film festival (1), zurich film festival (1), festival do rio br (1), american film festival (1), vienna international film festival (1), stockholm international film festival (1), dvd premiere (3), dvd and blu-ray and premiere (1), internet (2), tv premiere (1), tv release (1), west beach filmfestival (1)"
Terminator Genisys,"berlin (1), premiere (3), blank (86), jakarta (1), limited (1), french speaking region (1), tokyo (1), german speaking region (1), italian speaking region (1), internet (1)"
Ted 2,"blank (66), dvd premiere (2), internet (1)"
Knock Knock,"sundance film festival (1), blank (36), deauville film festival (1), motelx - lisbon international horror film festival (1), internet (2), limited (1), sitges film festival (1), lund international fantastic film festival (1), monsters of film, stockholm (1), night visions film festival (1), dvd premiere (7), tv premiere (1), dvd and blu-ray premiere (1)"
Self/less,"blank (45), neuchâtel international fantastic film festival (1), blu-ray release (1), dvd premiere (2), internet (1)"
Ant-Man,"los angeles, california (1), premiere (4), london (1), fourmies (1), fantasia international film festival (1), blank (73), tunis (1), tokyo (1), dvd and blu-ray premiere (1), imax re-release (1), disney+ premiere (1), blu-ray release (1)"
Pixels,"blank (80), internet (1)"
Trainwreck,"work-in-progress (1), south by southwest film festival (1), jerusalem film festival (1), blank (53), locarno film festival (1), limited (1), deauville film festival (1), dvd premiere (2), internet (1)"
Mission: Impossible - Rogue Nation,"vienna (1), premiere (4), london (1), new york city, new york (1), blank (74), jakarta (1), limited (1), vod (1), blu-ray and dvd (1), 4k uhd (1), dvd premiere (1), internet (2)"
Vacation,"blank (73), tv release (1), dvd premiere (1), internet (1)"
Drishyam,"blank (8), internet (11), tv release (1)"
The Gift,"los angeles, california (1), premiere (2), blank (41), sitges international fantastic film festival (1), leiden international film festival (1), internet (2), madrid (1), pontevedra (1), dvd premiere (3), blu-ray premiere (1), barcelona (1)"
Fantastic Four,"new york city (1), premiere (2), blank (76), tokyo (1)"
Goosebumps,"san diego film festival (1), blank (77), bfi london film festival (1), italian speaking region (1), dvd premiere (1), beijing international film festival (1), rtp 1 (1), tv premiere (1), tv release (1), internet (1)"
Straight Outta Compton,"los angeles, california (1), premiere (1), blank (38), limited (1), festival do rio br (1), blu ray premiere (1), dvd premiere (3), beijing international film festival (1), cine rock festival (1), internet (2)"
The Man from U.N.C.L.E.,"barcelona (1), premiere (1), blank (75), deauville american cinema festival (1), beijing international film festival (1)"
American Ultra,"los angeles, california (1), premiere (1), blank (38), blu-ray release (2), dvd premiere (2)"
Hitman: Agent 47,"new york city (1), premiere (1), blank (79), dvd and blu-ray premiere (1), dvd premiere (1)"
No Escape,"blank (43), comunidad valenciana (1), dvd premiere (3), dvd and blu-ray premiere (1), internet (3)"
Eye in the Sky,"toronto international film festival (1), palm springs international film festival (1), cinequest film festival (1), boulder international film festival (1), miami international film festival (1), blank (41), limited (2), internet (3), dvd premiere (6), blu-ray premiere (1), deauville film festival (1), dvd and blu-ray premiere (3), tv release (1)"
Legend,"london (1), premiere (1), blank (49), toronto international film festival (1), tv release (1), austin film festival (1), stockholm international film festival (1), limited (1), dvd premiere (1)"
Life,"berlin international film festival (1), guanajuato international film festival (1), zurich film festival (2), deauville film festival (1), blank (22), milan international film festival (1), helsinki international film festival (1), athens film festival (1), sitges film festival (1), tokyo international film festival (1), limited (2), dvd premiere (1), internet (1)"
Maze Runner: The Scorch Trials,"sao paulo (1), premiere (6), seoul (1), buenos aires (1), blank (81), new york city (1), paris (1), tokyo (1), uncut version (1), internet (1)"
Everest,"venice film festival (1), deauville film festival (1), blank (62), islas baleares (1), madrid (1), german speaking region (1), limited (1), french speaking region (1), italian speaking region (1), tokyo international film festival (1), blu ray premiere (1), internet (2)"
Beasts of No Nation,"venice film festival (1), telluride film festival (1), toronto international film festival (1), bfi london film festival (1), mill valley film festival (1), internet (27), blank (2), german speaking region (1), limited (1), tokyo international film festival (1), karlovy vary international film festival (1)"
Hardcore Henry,"toronto international film festival (1), south by southwest film festival (1), lyon festival hallucinations collectives (1), mauvais genre film festival (1), fantasy filmfest nights (1), blank (40), imagine film festival (1), mexico city (1), dvd premiere (1), blu-ray premiere (1), blu-ray release (2), kanazawa film fest (1), limited (1), internet (1)"
Allegiant,"bangkok (1), premiere (2), blank (56), new york city (1), limited (1), dvd premiere (3)"
10 Cloverfield Lane,"new york city (1), premiere (1), blank (66), french speaking region (1), german speaking region (1), italian speaking region (1)"
Batman v Superman: Dawn of Justice,"beijing (1), premiere (7), mexico city (1), los angeles, california (1), new york city, new york (1), london (1), buenos aires (1), blank (85), cairo (1), internet (6), colombo (1), re-release (1), dvd premiere (3), blu-ray release (6)"
Hunt for the Wilderpeople,"blank (12), sundance film festival (1), south by southwest film festival (1), internet (5), riverrun international film festival (1), sarasota film festival (1), cleveland international film festival (1), the calgary underground film festival (1), nashville film festival (1), tribeca film festival (1), san francisco international film festival (1), independent film festival of boston (1), montclair film festival (1), chicago critics film festival (1), seattle international film festival (1), edinburgh international film festival (1), provincetown international film festival (1), oak cliff film festival (1), limited (2), nantucket film festival (1), fantasia international film festival (1), summer international film festival (1), screenplay film festival (1), jameson cinefest international film festival (1), bergen international film festival (1), bali international film festival (1), schlingel - international film festival for children and young audience (2), digital, dvd & blu-ray premiere (1), digital & dvd premiere (2), dvd premiere (7), qcinema international film festival (1), leiden international film festival (1), sofia independent film festival (1), thessaloniki international film festival (1), casa asia film festival (1), dvd & blu-ray premiere (1), belgrade film festival (1), kino pavasaris - vilnius film festival (1), chasing reels (1), dvd and blu-ray and premiere (1), beijing international film festival (1), tv premiere (3), tv release (1), blu-ray release (2)"
The Huntsman: Winter's War,"hamburg (1), premiere (3), blank (75), limited (1), los angeles, california (1), dvd premiere (3), chofu film festival (1)"
The Jungle Book,"los angeles, california (1), premiere (2), blank (76), limited (1), french speaking region (1), imax version (1), german speaking region (1), kabuki-za (1)"
The Invitation,"blank (6), south by southwest film festival (1), stanley film festival (1), sydney film festival (1), bamcinemafest (1), fantasia international film festival (2), neuchâtel international fantastic film festival (1), new zealand international film festival (1), fantasy filmfest (1), melbourne international film festival (1), sidewalk film festival (1), l'étrange festival (1), motelx - lisbon international horror film festival (1), slash film festival (1), hardline film festival (1), fantastic fest (1), busan international film festival (1), mile high horror film festival (1), bfi london film festival (1), sitges film festival (1), mayhem film festival (1), celluloid screams horror film festival (1), morbido film fest (1), stockholm international film festival (1), palm springs international film festival (1), guipuzcoa (1), subtitled version (2), premiere (1), belgrade film festival (1), limited (2), internet (10), titanic international filmpresence festival (1), dvd and blu-ray premiere (2), imagine film festival (1), malmö fantastisk filmfestival (1), blu ray release (1), barcelona (1), catalan subtitled version (1), technical release (1), blu-ray release (2), dvd premiere (2), beyond fest (1)"
Green Room,"cannes directors' fortnight (1), neuchâtel international fantastic film festival (1), jerusalem film festival (1), sarajevo film festival (1), fantastic fest (1), deauville film festival (1), toronto international film festival (1), motelx - lisbon international horror film festival (1), quebec city film festival (1), helsinki international film festival (1), zurich film festival (1), athens film festival (1), rio de janeiro international film festival (1), vancouver international film festival (1), busan international film festival (1), bfi london film festival (1), kaohsiung film festival (1), stockholm international film festival (1), paris international fantastic film festival (1), sundance film festival (1), international film festival rotterdam (1), !f istanbul independent film festival (1), lyon festival hallucinations collectives (1), fantasy filmfest nights (1), limited (3), belfast film festival (1), dead by dawn horror film festival (1), blank (16), netia off camera international festival of independent cinema (1), malmö fantastisk filmfestival (1), barcelona (3), subtitled version (4), premiere (1), madrid (1), dvd premiere (7), blu ray release (1), new zealand international film festival (1), dvd and blu-ray premiere (1), down town taito international comedy film festival (1), american film festival (1), catalan subtitled version (1), technical release (1), tv premiere (1), cine universitario (1), internet (1)"
Captain America: Civil War,"los angeles, california (1), premiere (5), paris (1), berlin (1), london (1), blank (79), french speaking region (1), tirana (1), dhaka (1), colombo (1), dvd and blu-ray premiere (1), blu-ray release (1), imax re-release (1), dvd premiere (1)"
Neighbors 2: Sorority Rising,"berlin (1), premiere (1), blank (51), down town taito international comedy film festival (1), dvd premiere (1), blu-ray release (1)"
The Angry Birds Movie,"berlin (1), premiere (4), paris (1), ljubljana (1), novi sad (1), blank (80), belgrade (1)"
Money Monster,"blank (62), cannes film festival (1), dvd premiere (1)"
The Wailing,"blank (21), cannes film festival (1), limited (2), munich international film festival (1), fantasia international film festival (1), bifan - bucheon international fantastic film festival (1), motelx - lisbon international horror film festival (1), sitges film festival (1), bfi london film festival (1), vienna international film festival (1), cph: pix (1), amsterdamned (1), five flavours film festival (1), madrid (1), subtitled version (4), premiere (2), morbido film fest (1), barcelona (1), night visions film festival (1), stockholm international film festival (1), cinema one originals film festival (1), molins film festival (1), torino film festival (1), abertoir horror festival (1), dvd and blu-ray premiere (1), internet (2), filmasia asian film festival (1), international film festival of kerala (1), dvd premiere (2), malaysia international film festival (1), belgrade film festival (1), yubari international fantastic film festival (1), offscreen film festival (1), titanic international filmpresence festival (1), brussels international fantastic film festival (1), zaragoza (1), event (1)"
The Nice Guys,"hollywood, california (1), premiere (2), blank (62), cannes film festival (1), london (1), vod (1), limited (1), blu-ray and dvd release (1), down town taito international comedy film festival (1), tv release (2), internet (1), dvd premiere (2)"
X-Men: Apocalypse,"london (1), premiere (1), kyiv comic con (1), blank (73), beijing international film festival (1), dvd premiere (1)"
Alice Through the Looking Glass,"london (1), premiere (1), blank (64), dvd premiere (2), internet (1)"
The Neon Demon,"cannes film festival (1), premiere (4), london (1), paris (1), blank (44), los angeles, california (1), limited (2), jerusalem film festival (1), new horizons film festival (1), bucheon international fantastic film festival (1), strelka film festival (1), melbourne international film festival (1), cine caníbal (1), sitges film festival (1), tokyo international film festival (1), re-release (1), bangkok screening room (1), cinedays film festival (1), molins film festival (1), blu-ray premiere (1), dvd premiere (1), internet (1), geneva international film festival (1)"
Me Before You,"new york city, new york (1), premiere (2), blank (55), buenos aires (1), limited (2), sic (1), tv premiere (1), dvd premiere (2)"
Teenage Mutant Ninja Turtles: Out of the Shadows,"new york city, new york (1), premiere (2), sydney (1), blank (69), italian speaking region (1), french speaking region (1), german speaking region (1)"
The BFG,"cannes film festival (1), sydney film festival (1), los angeles, california (1), premiere (2), blank (68), limited (1), london (1), blu-ray and dvd (1), vod (1), internet (2), roald dahl festival (1), dvd premiere (1)"
