title,blank,internet,total
The Hunger Games: Catching Fire,86,1,97
Frozen,83,0,113
Saving Mr. Banks,70,1,82
American Hustle,67,0,76
47 Ronin,52,2,59
The Hobbit: The Desolation of Smaug,86,0,101
Anchorman 2: The Legend Continues,29,0,45
Her,55,0,77
The Secret Life of Walter Mitty,53,0,62
Lone Survivor,51,1,63
August: Osage County,46,1,71
Ride Along,19,2,32
The Lego Movie,76,1,84
3 Days to Kill,48,2,55
Pompeii,54,0,61
Non-Stop,51,0,57
The Grand Budapest Hotel,49,2,78
300: Rise of an Empire,70,1,78
Noah,65,2,91
Need for Speed,57,0,61
Divergent,62,0,72
Captain America: The Winter Soldier,62,0,73
The Raid 2,29,1,61
Oculus,37,4,69
Locke,28,0,62
The Amazing Spider-Man 2,91,1,110
Transcendence,52,0,55
Chef,45,1,65
Neighbors,62,1,68
Godzilla,77,0,90
X-Men: Days of Future Past,88,0,106
Blended,67,1,73
A Million Ways to Die in the West,49,1,56
The Babadook,25,1,76
Edge of Tomorrow,75,1,85
Maleficent,66,1,75
The Fault in Our Stars,78,0,86
22 Jump Street,87,0,95
How to Train Your Dragon 2,64,1,80
Transformers: Age of Extinction,68,0,77
Begin Again,52,0,73
Dawn of the Planet of the Apes,82,1,93
Hercules,71,0,78
Guardians of the Galaxy,78,0,94
Teenage Mutant Ninja Turtles,91,1,105
The Expendables 3,73,1,90
Let's Be Cops,73,1,77
Sin City: A Dame to Kill For,72,1,78
Wild Tales,45,0,94
Predestination,21,2,53
The Maze Runner,100,1,103
The Equalizer,91,0,103
Chappie,72,1,76
Cinderella,63,0,70
Run All Night,57,0,64
Home,75,3,87
Insurgent,80,0,91
Southpaw,59,0,66
Get Hard,35,2,45
Furious 7,80,1,92
The Age of Adaline,49,1,53
Avengers: Age of Ultron,80,0,92
Spy,85,0,94
Pitch Perfect 2,55,1,61
Mad Max: Fury Road,74,1,109
Tomorrowland,68,0,72
San Andreas,72,0,74
Insidious: Chapter 3,60,0,63
Aloha,20,5,34
Jurassic World,70,1,81
Inside Out,88,0,113
Minions,79,1,89
Paper Towns,62,1,65
Dope,11,2,39
Terminator Genisys,86,1,97
Ted 2,66,1,69
Knock Knock,36,2,55
Self/less,45,1,50
Ant-Man,73,0,87
Pixels,80,1,81
Trainwreck,53,1,62
Mission: Impossible - Rogue Nation,74,2,89
Vacation,73,1,76
Drishyam,8,11,20
The Gift,41,2,55
Fantastic Four,76,0,80
Goosebumps,77,1,85
Straight Outta Compton,38,2,50
The Man from U.N.C.L.E.,75,0,79
American Ultra,38,0,44
Hitman: Agent 47,79,0,83
No Escape,43,3,51
Eye in the Sky,41,3,63
Legend,49,0,57
Life,22,1,36
Maze Runner: The Scorch Trials,81,1,95
Everest,62,2,74
Beasts of No Nation,2,27,38
Hardcore Henry,40,1,54
Allegiant,56,0,64
10 Cloverfield Lane,66,0,71
Batman v Superman: Dawn of Justice,85,6,116
Hunt for the Wilderpeople,12,5,71
The Huntsman: Winter's War,75,0,85
The Jungle Book,76,0,84
The Invitation,6,10,62
Green Room,16,1,73
Captain America: Civil War,79,0,96
Neighbors 2: Sorority Rising,51,0,56
The Angry Birds Movie,80,0,89
Money Monster,62,0,64
The Wailing,21,2,64
The Nice Guys,62,1,76
X-Men: Apocalypse,73,0,78
Alice Through the Looking Glass,64,1,69
The Neon Demon,44,1,70
Me Before You,55,0,65
Teenage Mutant Ninja Turtles: Out of the Shadows,69,0,76
The BFG,68,2,81
