title,blank,internet,total,internet_total_ratio,internet_dominance
Chappie,72,1,76,0.01,no
San Andreas,72,0,74,0.00,no
Jack Reacher: Never Go Back,72,1,86,0.01,no
Doctor Strange,72,0,89,0.00,no
Fantastic Beasts and Where to Find Them,72,0,78,0.00,no
Cars 3,72,0,77,0.00,no
Coco,72,0,95,0.00,no
Maze Runner: The Death Cure,72,1,74,0.01,no
Saw X,72,0,78,0.00,no
WALL-E,72,1,105,0.01,no
21,73,0,79,0.00,no
Super 8,73,0,83,0.00,no
Transformers: Dark of the Moon,73,0,93,0.00,no
Prometheus,73,0,85,0.00,no
The Great Gatsby,73,0,83,0.00,no
After Earth,73,0,81,0.00,no
The Expendables 3,73,1,90,0.01,no
Let's Be Cops,73,1,77,0.01,no
Ant-Man,73,0,87,0.00,no
Vacation,73,1,76,0.01,no
X-Men: Apocalypse,73,0,78,0.00,no
Moana,73,0,88,0.00,no
Ant-Man and the Wasp,73,0,80,0.00,no
The Naked Gun,73,2,76,0.03,no
Iron Man 2,74,0,87,0.00,no
Madagascar 3: Europe's Most Wanted,74,0,76,0.00,no
Ted,74,1,84,0.01,no
Mad Max: Fury Road,74,1,109,0.01,no
Mission: Impossible - Rogue Nation,74,2,89,0.02,no
Deepwater Horizon,74,2,81,0.02,no
Power Rangers,74,1,75,0.01,no
Tomb Raider,74,0,81,0.00,no
Elio,74,2,81,0.02,no
Toy Story 3,75,0,84,0.00,no
Captain America: The First Avenger,75,0,84,0.00,no
Gravity,75,0,104,0.00,no
Edge of Tomorrow,75,1,85,0.01,no
Home,75,3,87,0.03,no
The Man from U.N.C.L.E.,75,0,79,0.00,no
The Huntsman: Winter's War,75,0,85,0.00,no
Nerve,75,1,84,0.01,no
La La Land,75,2,121,0.02,no
Justice League,75,2,88,0.02,no
Avengers: Endgame,75,0,101,0.00,no
Dune,75,1,111,0.01,no
The Bounty Hunter,76,1,84,0.01,no
Thor,76,0,86,0.00,no
Despicable Me 2,76,1,84,0.01,no
The Lego Movie,76,1,84,0.01,no
Fantastic Four,76,0,80,0.00,no
The Jungle Book,76,0,84,0.00,no
Black Panther,76,0,83,0.00,no
Grown Ups,77,1,82,0.01,no
Brave,77,0,87,0.00,no
Man of Steel,77,1,92,0.01,no
Godzilla,77,0,90,0.00,no
Goosebumps,77,1,85,0.01,no
The Matrix Resurrections,77,4,87,0.05,no
Jurassic World Rebirth,77,2,87,0.02,no
The Long Walk,77,0,77,0.00,no
Hancock,78,0,92,0.00,no
Bridesmaids,78,2,87,0.02,no
The Heat,78,0,84,0.00,no
The Fault in Our Stars,78,0,86,0.00,no
Guardians of the Galaxy,78,0,94,0.00,no
Avengers: Infinity War,78,0,87,0.00,no
Incredibles 2,78,0,84,0.00,no
M3GAN,78,3,89,0.03,no
How to Train Your Dragon,79,0,92,0.00,no
This Is the End,79,1,90,0.01,no
Minions,79,1,89,0.01,no
Hitman: Agent 47,79,0,83,0.00,no
Captain America: Civil War,79,0,96,0.00,no
Freakier Friday,79,2,84,0.02,no
Insurgent,80,0,91,0.00,no
Furious 7,80,1,92,0.01,no
Avengers: Age of Ultron,80,0,92,0.00,no
Pixels,80,1,81,0.01,no
The Angry Birds Movie,80,0,89,0.00,no
Old,80,0,86,0.00,no
Smurfs,80,1,89,0.01,no
Robin Hood,81,1,87,0.01,no
The Croods,81,1,86,0.01,no
Maze Runner: The Scorch Trials,81,1,95,0.01,no
War for the Planet of the Apes,81,1,88,0.01,no
F9,81,2,90,0.02,no
Weapons,81,3,84,0.04,no
Nobody 2,81,1,83,0.01,no
Dawn of the Planet of the Apes,82,1,93,0.01,no
Escape Room: Tournament of Champions,82,3,88,0.03,no
21 Jump Street,83,0,91,0.00,no
The Avengers,83,0,94,0.00,no
Carrie,83,1,91,0.01,no
Frozen,83,0,113,0.00,no
The Roses,83,2,87,0.02,no
Shrek Forever After,84,1,95,0.01,no
The Amazing Spider-Man,84,1,97,0.01,no
The Super Mario Bros. Movie,84,2,90,0.02,no
The Creator,84,1,98,0.01,no
A Big Bold Beautiful Journey,84,0,88,0.00,no
Made of Honor,85,0,90,0.00,no
Spy,85,0,94,0.00,no
Batman v Superman: Dawn of Justice,85,6,116,0.05,no
The Hunger Games: Catching Fire,86,1,97,0.01,no
The Hobbit: The Desolation of Smaug,86,0,101,0.00,no
Terminator Genisys,86,1,97,0.01,no
22 Jump Street,87,0,95,0.00,no
Finding Dory,87,0,92,0.00,no
Five Feet Apart,87,2,92,0.02,no
X-Men: Days of Future Past,88,0,106,0.00,no
Inside Out,88,0,113,0.00,no
American Assassin,89,1,93,0.01,no
Minions: The Rise of Gru,89,12,105,0.11,no
John Wick: Chapter 3 - Parabellum,90,2,98,0.02,no
Encanto,90,2,100,0.02,no
Thor: Love and Thunder,90,1,94,0.01,no
Elemental,90,0,95,0.00,no
A Haunting in Venice,90,0,92,0.00,no
The Conjuring: Last Rites,90,2,93,0.02,no
The Amazing Spider-Man 2,91,1,110,0.01,no
Teenage Mutant Ninja Turtles,91,1,105,0.01,no
The Equalizer,91,0,103,0.00,no
Gabby's Dollhouse: The Movie,92,0,92,0.00,no
One Battle After Another,97,1,105,0.01,no
The Bad Guys 2,98,1,102,0.01,no
The Maze Runner,100,1,103,0.01,no
Demon Slayer: Kimetsu no Yaiba Infinity Castle,100,1,102,0.01,no
Avatar: The Way of Water,111,1,126,0.01,no
Five Nights at Freddy's,111,2,120,0.02,no
Spider-Man: Across the Spider-Verse,133,2,146,0.01,no
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
