title,id,vote_average,vote_count,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path
The Witch: Part 1. The Subversion,530254,7.883,674,43278,24340302,125,5500000,tt8574252,ko,마녀,"Ja-yoon is a high school student who struggles with memory loss after she endured some unknown trauma during her childhood. While trying to uncover the truth, she is unwittingly dragged into a world of crime and finds herself on a journey that will awaken many secrets hidden deep within.",8.2227,Everything changed after they appeared.,"Action, Mystery, Science Fiction","Peppermint & Company, Warner Bros. Korea, Goldmoon Film, Finecut, Huayi Tencent Entertainment, Union Investment Partners","Hong Kong, South Korea","English, 日本語, 한국어/조선말","Hyun Bong-sik, Kwon Tae-won, Kim Da-mi, Go Min-si, Choi Jung-woo, Jeong Da-eun, Kim Byeong-ok, Song Hyeong-su, Oh Mi-hee, Yeo Moo-yeong, Lee Si-woo, Chung Ye-jin, Choi Woo-shik, Baek Seung-chul, Woo Min-kyu, Lee Ki-young, Lee Ju-won, Park Hee-soon, Cho Min-soo, Lee Si-hoon, Kim Ha-na",Park Hoon-jung,"Teo Lee, Kim Yeong-ho",Park Hoon-jung,"Jay Choi, Yeon Young-sik, Park Hoon-jung",Mowg,7.1,21487,/4i2wo2ja5g2PmUxWa1a2eYIboZf.jpg
The Woman King,724495,7.637,2264,44820,97300000,135,50000000,tt8093700,en,The Woman King,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",5.0223,Her reign begins.,"Action, Drama, History","TriStar Pictures, JuVee Productions, Entertainment One, Welle Entertainment, TSG Entertainment II","Canada, United States of America","English, Português","Julius Tennon, Viola Davis, Bongo Mbutuma, Chumani Pan, Kgomotso Moshia, Jordan Bolger, Lashana Lynch, John Boyega, Pumla Ndlazi, Jimmy Odukoya, Chioma Antoinette Umeala, Riaan Visman, Sheila Atim, Angélique Kidjo, Hero Fiennes Tiffin, Makgotso M, Zeaf Ejama, Thando Dlomo, Zozibini Tunzi, Kwanda Tim Dlamini, Chris Ncekana, Princess Elmore, Thuso Mbedu, Kekole Mathabathe, Jayme Lawson, Adrienne Warren, Wanda Banda, Daniel Hadebe, Bonko Khoza, Cebelihle Mbambo, Siyamthanda Makakane, Boitumelo Makgalemele, Joel Mukadi, Shaina West, Seputla Sebogodi, Tuks Tad Lungu, Nancy Sekhokoane, Yannick Brand, Masali Baduza, Nhlanhla Mkhwanazi, Didi Ledwaba, Lethabo, Sivuyile Ngesi, Sne Mbatha",Gina Prince-Bythewood,Polly Morgan,"Maria Bello, Dana Stevens","Peter McAleese, Julius Tennon, Tshepiso Chikapa Phiri, Viola Davis, Cathy Schulman, Maria Bello",Terence Blanchard,6.9,81359,/438QXt1E3WJWb3PqNniK0tAE5c1.jpg
The Woman in the Yard,1244944,5.744,328,45743,23311502,88,12000000,tt31314296,en,The Woman in the Yard,"In the aftermath of her husband's death, widow Ramona's struggle to raise her two kids is hindered by the arrival of a mysterious woman with supernatural abilities.",7.602,Don't let her in.,"Drama, Horror, Thriller","Blumhouse Productions, Homegrown Pictures, Universal Pictures",United States of America,English,"Peyton Jackson, Okwui Okpokwasili, Danielle Deadwyler, Russell Hornsby, Estella Kahiha, Chad Pitter",Jaume Collet-Serra,Pawel Pogorzelski,Sam Stefanak,"Jason Blum, Jaume Collet-Serra, James Moran, Stephanie Allain, Danielle Deadwyler, Gabrielle Ebron, Scott Greenberg",Lorne Balfe,5,17447,/n0WS2TsNcS6dtaZKzxipyO7LuCJ.jpg
The Wrath of Becky,986070,6.3,412,45072,207118,83,199507,tt20916568,en,The Wrath of Becky,"Two years after she escaped a violent attack on her family, 16-year-old Becky attempts to rebuild her life in the care of an older woman -- a kindred spirit named Elena. However, when a violent group known as the Noble Men break into their home, attack them and take their beloved dog, Becky must return to her old ways to protect herself and her loved ones.",3.2858,Hell hath no fury like a 16-year-old scorned.,"Action, Horror, Thriller","Post Film, BoulderLight Pictures, Media Finance Capital, RainMaker Films, Yale Productions",United States of America,English,"Lulu Wilson, Michael Sirow, Alison Cimmet, Courtney Gains, Seann William Scott, Kate Siegel, Derek Gaines, Zoie Morris, Matt Angel, John D. Hickman, Jill Larson, Denise Burse, Aaron Dalla Villa","Suzanne Coote, Matt Angel",Julia Swain,"Lane Skye, Suzanne Coote, Nick Morris, Matt Angel, Ruckus Skye","Lulu Wilson, Clay Pecorin, RJ Collins, Jonathan Milott, Russ Posternak, Seann William Scott, J.D. Lifshitz, Marlon Vogelgesang, Chadd Harbold, Jordan Yale Levine, Cary Murnion, Raphael Margules, Jordan Beckerman, Maurice Compte, Berry Meyerowitz, Larry Greenberg, Tracy Rosenblum",Nima Fakhrara,6.1,18764,/uKNCPaxYZgpsLGSHiasA5IisR3e.jpg
The X Files: I Want to Believe,8836,5.846,1575,39653,69363381,104,30000000,tt0443701,en,The X Files: I Want to Believe,Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.,2.8959,"To find the truth, you must believe.","Mystery, Science Fiction, Thriller","Ten Thirteen Productions, Dune Entertainment III, Crying Box Productions, 20th Century Fox","United States of America, Canada",English,"Xantha Radley, Xzibit, Marco Niccoli, Vanesa Tomasino, Amanda Peet, Dion Johnstone, Sarah-Jane Redmond, Brent C.S. O'Connor, Veronika Hadravá, Chris Carter, Nicki Aycox, Paul Mitton, Lynne Burnett, Billy Connolly, Denis Krasnogolov, Stacee Copeland, Gillian Anderson, Fagin Woodcock, Lorena Gale, Michael Stevens, Donavon Stinson, Teana-Marie Smith, Mitch Pileggi, Alex Diakun, Carrie Ruscheinsky, Spencer Maybee, Patrick Keating, Luvia Petersen, Dave Cote, Babs Chula, Marci T. House, Joseph Patrick Finn, Roger Horchow, Christina D'Alimonte, Beth Siegler, Callum Keith Rennie, Tom Charron, Vanessa Morley, David Duchovny, Celeste Insell, Adam Godley, Stephen E. Miller",Chris Carter,Bill Roe,"Frank Spotnitz, Chris Carter","Frank Spotnitz, Chris Carter, Brent O'Connor",Mark Snow,5.9,95952,/3zQMhutUMJP6lK49x7i2YfsOHL9.jpg
The Xpos√©,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
The Young Messiah,318850,6.4,143,42439,6500000,120,18500000,tt1002563,en,The Young Messiah,"Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.",2.1444,"Before he was the savior, he was a child.",Drama,"Ocean Blue Entertainment, CJ Entertainment, 1492 Pictures","United States of America, South Korea",English,"Finn Ireland, Lee Boardman, Rory Keenan, Christian McKay, David Burke, David Bradley, Sara Lazzaro, Paul Ireland, Jonathan Bailey, Isabelle Adriani, Gian Piero Rotoli, Giselda Volodi, Matt Patresi, Dorotea Mercuri, Sean Bean, Agni Scott, Jarreth J. Merz, Vincent Walsh, Paola Lavini, Adam Greaves-Neal",Cyrus Nowrasteh,Joel Ransom,"Cyrus Nowrasteh, Anne Rice, Betsy Giffen Nowrasteh","Tracy K. Price, Mark Radcliffe, Mark W. Shaw, Michael Barnathan, Chris Columbus",John Debney,5.7,4043,/ubehK1ZnM0NQphchuaMeE4A1BZk.jpg
The Young and Prodigious T.S. Spivet,157841,6.9,846,41563,9494789,105,33000000,tt1981107,en,The Young and Prodigious T.S. Spivet,A 10-year-old child prodigy cartographer secretly leaves his family's ranch in Montana where he lives with his cowboy father and scientist mother and travels across the country on board a freight train to receive an award at the Smithsonian Institute.,9.8049,Discover the extravagant journey.,"Adventure, Drama, Family","Epithète Films, Cross Creek Pictures, Tapioca Films, Filmarto","Canada, France",English,"Dawn Ford, Lisa Bronwyn Moore, Rebecca Amzallag, Felicia Shulman, Robert Maillet, Dylan Kingwell, Kyle Allatt, Zachary Amzallag, Callum Keith Rennie, Eric Davis, Kyle Gatehouse, Sylvia Stewart, Amber Goldfarb, Victor Cornfoot, Niamh Wilson, James Bradford, Leigh Ann Taylor, Kyle Catlett, Helena Bonham Carter, Dominique Pinon, Ana Alarcon, Harry Standjofski, Richard Jutras, Anne-Sophie Bozon, Michel Perron, Judy Davis, Una Kay, Rick Mercer, Jakob Davies, Andrew Simms, Martin Brisebois, Julian Richings, Sabrina Reeves, Christie Claymore, Mairtin O'Carrigan, Susan Glover",Jean-Pierre Jeunet,Thomas Hardmeier,"Jean-Pierre Jeunet, Reif Larsen, Guillaume Laurant","Suzanne Girard, Tyler Thompson, Francis Boespflug, Gilles Legrand, Jean-Pierre Jeunet, Frédéric Brillion, Sidonie Dumas, Brian Oliver",Denis Sanacore,7,21088,/pmr4h0ZLguYsvxaVmjS0bguLcnB.jpg
The Zero Theorem,157834,6.1,1266,41537,770706,107,8500000,tt2333804,en,The Zero Theorem,"A computer hacker's goal to discover the reason for human existence continually finds his work interrupted thanks to the Management; this time, they send a teenager and lusty love interest to distract him.",1.7788,Nothing is Everything,"Drama, Fantasy, Science Fiction","Zanuck Independent, MediaPro Pictures, Zephyr Films, Picture Perfect Corporation, Voltage Pictures, Asia & Europe Productions","France, Romania, United Kingdom, United States of America",English,"Mélanie Thierry, Matt Damon, Rupert Friend, Gwendoline Christie, Ingrid Bisu, Christoph Waltz, Lucas Hedges, Ben Whishaw, Sanjeev Bhaskar, Peter Stormare, Iulia Verdes, Tilda Swinton, Lily Cole, David Thewlis, Dana Rogoz, Margarita Doyle",Terry Gilliam,Nicola Pecorini,Pat Rushin,"Dean Zanuck, Nicolas Chartier, Jean Labadie, Patrick Newall, Andreea Stanculeanu, Andrei Boncea, Chris Curling, Phil Robertson, Zev Foreman",George Fenton,6,51259,/j2sEI9FOaJszidVatzIaaMPdLsm.jpg
The Zookeeper's Wife,289222,7.33,1529,42818,26152835,126,20000000,tt1730768,en,The Zookeeper's Wife,"The account of keepers of the Warsaw Zoo, Jan and Antonina Zabinski, who helped save hundreds of people and animals during the Nazi invasion.",2.6735,They gave all they had to save all they could,"Drama, History, War","Scion Films, Czech Anglo Pictures, Focus Features, Electric City Entertainment, Mike Tollin Productions, Sierra/Affinity, MadRiver Pictures","Czech Republic, United Kingdom, United States of America",English,"Frederick Preston, Daniel Ratimorský, Daniel Brühl, Roman Vejdovec, Patricia Kalis, Efrat Dor, Shira Haas, Jitka Smutná, Marián Mitaš, Václav Neužil, Viktoria Zakharyanova, Alena Mihulová, Viktorie Jenicková, Arnošt Goldflam, Johan Heldenbergh, Roman Horák, Goran Kostić, Magdaléna Sidonová, Michael McElhatton, Waldemar Kobus, Slavko Sobin, Josef Guruncz, Brian Caspe, Jakub Šmíd, Theo Preston, Anna Rust, Adira B. Cole Abbett, Val Maloku, Petra Bučková, Vilma Frantová, Iddo Goldberg, Magdalena Lamparska, Nataša Burger, Ester Kočičková, Martin Hofmann, Jessica Chastain, Gabriel Cohen, Ladislav Hampl, Diego Delpiano, Hana Frejková, Timothy Radford, Martha Issová, Hana Pindurová",Niki Caro,Andrij Parekh,"Angela Workman, Diane Ackerman","Jessica Chastain, Jeff Abberley, Pete Shilaimon, Mickey Liddell, Diane Miller Levin, Michael Tollin, Marc Butan, Kim Zubick, Jennifer Monroe, Jamie Patricof, Kevan Van Thompson, Robbie Tollin",Harry Gregson-Williams,7,48706,/50KGpMiIvSkF4WHOgp0gM6r6sMU.jpg
Thelma,401898,6.798,1084,42993,1500000,116,5700000,tt6304046,no,Thelma,A college student starts to experience extreme seizures. She soon learns that the violent episodes are a symptom of inexplicable abilities.,2.8858,Unleash Your True Self. Unleash Your True Power.,"Drama, Mystery, Thriller","Motlys, Film i Väst, Le Pacte, Filmpool Nord, Snowglobe, B-Reel Films, Don't Look Now, Copenhagen Film Fund, Memento Films International","Denmark, France, Norway, Sweden","Norsk, svenska","Camilla Belsvik, Henrik Rafaelsen, Ingrid Unnur Giæver, Steinar Klouman Hallert, Eili Harboe, Tom Louis Lindstrøm, Ian Twedmark, Sigve Bøe, Irina Eidsvold Tøien, Tommy Larsson, Marte Magnusdotter Solem, Anders Mossling, Oskar Pask, Grethe Eltervåg, Ingrid Jørgensen Dragland, Kaya Wilkins, Lars Berge, Ludvig Algeback, Isabel Christine Andreasen, Vidar Fransson, Martha Kjørven, Vibeke Lundquist, Gorm Grømer, Ellen Dorrit Petersen, Vanessa Borgli",Joachim Trier,Jakob Ihre,"Eskil Vogt, Joachim Trier","Thomas Robsahm, Joachim Trier, Sigve Endresen, Eskil Vogt",Ola Fløttum,6.9,38776,/fN2Qq5riCrBiVLfKqgODHC0SwVx.jpg
